year,volume,url,title,pages,keywords,journal,issn,author,abstract,ENTRYTYPE,ID,number,school,publisher,isbn,booktitle,da,oa,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,funding-text,funding-acknowledgement,orcid-numbers,researcherid-numbers,author-email,web-of-science-categories,research-areas,keywords-plus,article-number,doi,affiliation,language,type,address,month,eissn,note,series,esi-hot-paper,esi-highly-cited-paper,organization
2016,19,"a.ivanov@qmul.ac.uk, ORCID: 0000-0001-9239-0998",Individual characteristics and behavior in repeated games: An experimental study,67 - 99,"Experiment, Repeated game, Individual characteristics, Altruism, Economics, Game Theory, Statistical Analysis, Ability",Experimental Economics,"1386-4157, 1573-6938","Davis, Douglas and  Ivanov, Asen and  Korenok, Oleg","Using a laboratory experiment, we investigate whether a variety of behaviors in repeated games are related to an array of individual characteristics that are popular in economics: risk attitude, time preference, trust, trustworthiness, altruism, strategic skills in one-shot matrix games, compliance with first-order stochastic dominance, ability to plan ahead, and gender. We do find some systematic relationships. A subject’s compliance with first-order stochastic dominance as well as, possibly, patience, gender, and altruism have some systematic effects on her behavior in repeated games. At the level of a pair of subjects who are playing a repeated game, each subject’s gender as well as, possibly, patience and ability to choose an available dominant strategy in a one-shot matrix game systematically affect the frequency of the cooperate–cooperate outcome. However, overall, the number of systematic relationships is surprisingly small. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",article,2015-06258-00120160301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,29,"neil.stewart@warwick.ac.uk, ORCID: 0000-0002-2202-018X, ORCID: 0000-0002-4082-2813",Eye movements in strategic choice,137 - 156,"eye tracking, process tracing, experimental games, normal-form games, prisoner's dilemma, stag hunt, hawk–dove, level-k, cognitive hierarchy, drift diffusion, accumulator models, gaze cascade effect, gaze bias effect, Eye Movements, Game Theory, Models, Visual Tracking",Journal of Behavioral Decision Making,"0894-3257, 1099-0771","Stewart, Neil and  Gächter, Simon and  Noguchi, Takao and  Mullett, Timothy L.","In risky and other multiattribute choices, the process of choosing is well described by random walk or drift diffusion models in which evidence is accumulated over time to threshold. In strategic choices, level‐k and cognitive hierarchy models have been offered as accounts of the choice process, in which people simulate the choice processes of their opponents or partners. We recorded the eye movements in 2 × 2 symmetric games including dominance‐solvable games like prisoner's dilemma and asymmetric coordination games like stag hunt and hawk–dove. The evidence was most consistent with the accumulation of payoff differences over time: we found longer duration choices with more fixations when payoffs differences were more finely balanced, an emerging bias to gaze more at the payoffs for the action ultimately chosen, and that a simple count of transitions between payoffs—whether or not the comparison is strategically informative—was strongly associated with the final choice. The accumulator models do account for these strategic choice process measures, but the level‐k and cognitive hierarchy models do not. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",article,2015-49787-00120160407,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{2015},{9},,"{Oxytocin and vasopressin effects on the neural response to social
cooperation are modulated by sex in humans}",{754-764},{Oxytocin; Vasopressin; fMRI; Cooperation; Sex differences},{BRAIN IMAGING AND BEHAVIOR},{1931-7557},"Feng, Chunliang and Hackett, Patrick D. and DeMarco, Ashley C. and Chen,
Xu and Stair, Sabrina and Haroon, Ebrahim and Ditzen, Beate and Pagnoni,
Giuseppe and Rilling, James K.","{Recent research has examined the effects of oxytocin (OT) and
vasopressin (AVP) on human social behavior and brain function. However,
most participants have been male, while previous research in our lab
demonstrated sexually differentiated effects of OT and AVP on the neural
response to reciprocated cooperation. Here we extend our previous work
by significantly increasing the number of participants to enable the use
of more stringent statistical thresholds that permit more precise
localization of OT and AVP effects in the brain. In a double-blind,
placebo-controlled study, 153 men and 151 women were randomized to
receive 24 IU intranasal OT, 20 IU intranasal AVP or placebo.
Afterwards, they were imaged with fMRI while playing an iterated
Prisoner's Dilemma Game with same-sex partners. Sex differences were
observed for effects of OT on the neural response to reciprocated
cooperation, such that OT increased the caduate/putamen response among
males, whereas it decreased this response among females. Thus, 24 IU OT
may increase the reward or salience of positive social interactions
among men, while decreasing their reward or salience among women.
Similar sex differences were also observed for AVP effects within
bilateral insula and right supramarginal gyrus when a more liberal
statistical threshold was employed. While our findings support previous
suggestions that exogenous nonapeptides may be effective treatments for
disorders such as depression and autism spectrum disorder, they caution
against uniformly extending such treatments to men and women alike.}",article,ISI:000365755500010,{4},,{SPRINGER},,,{2020-11-04},,{ISI:000365755500010},{CX5PX},{Brain Imaging Behav.},{38},{3},{66},{63},"{We thank Susan Rogers, Jianguo Xu and Larry Young for assistance with
various aspects of this study. This study was supported by National
Institute of Mental Health {[}grant number R01 MH084068-01A1] and the
National Center for Advancing Translational Sciences of the National
Institutes of Health under Award Number UL1TR000454. The content is
solely the responsibility of the authors and does not necessarily
represent the official views of the National Institutes of Health.}","{National Institute of Mental HealthUnited States Department of Health \&
Human ServicesNational Institutes of Health (NIH) - USANIH National
Institute of Mental Health (NIMH) {[}R01 MH084068-01A1]; National Center
for Advancing Translational Sciences of the National Institutes of
HealthUnited States Department of Health \& Human ServicesNational
Institutes of Health (NIH) - USANIH National Center for Advancing
Translational Sciences (NCATS) {[}UL1TR000454]}","{Pagnoni, Giuseppe/0000-0002-8272-8091
Pagnoni, Giuseppe/0000-0002-8272-8091
Haroon, Ebrahim/0000-0002-8817-1116}","{Pagnoni, Giuseppe/F-3398-2015
Pagnoni, Giuseppe/O-3864-2019
Haroon, Ebrahim/A-7921-2012}",{jrillin@emory.edu},{Neuroimaging},{Neurosciences \& Neurology},"{CEREBROSPINAL-FLUID VASOPRESSIN; INTRANASAL OXYTOCIN; HUMAN BRAIN;
BEHAVIOR; RECOGNITION; AGGRESSION; ACCURATE; ROBUST; LOCALIZATION;
BINDING}",,{10.1007/s11682-014-9333-9},"{Rilling, JK (Corresponding Author), Emory Univ, Dept Psychiat \& Behav Sci, Dept Anthropol, 1557 Dickey Dr, Atlanta, GA 30322 USA.
Feng, Chunliang; Hackett, Patrick D.; Chen, Xu; Rilling, James K., Emory Univ, Dept Anthropol, Atlanta, GA 30322 USA.
Chen, Xu; Stair, Sabrina; Haroon, Ebrahim; Ditzen, Beate; Rilling, James K., Emory Univ, Dept Psychiat \& Behav Sci, Atlanta, GA 30322 USA.
Ditzen, Beate; Rilling, James K., Emory Univ, Ctr Behav Neurosci, Atlanta, GA 30322 USA.
Rilling, James K., Emory Univ, Yerkes Natl Primate Res Ctr, Atlanta, GA 30322 USA.
Rilling, James K., Emory Univ, Ctr Translat Social Neurosci, Atlanta, GA 30322 USA.
DeMarco, Ashley C., Univ Kansas, Dept Psychol, Lawrence, KS 66045 USA.
Ditzen, Beate, Univ Zurich, Dept Psychol, Zurich, Switzerland.
Pagnoni, Giuseppe, Univ Modena \& Reggio Emilia, Dept Neural Biomed \& Metab Sci, Modena, Italy.
Rilling, James K., Emory Univ, Dept Psychiat \& Behav Sci, Dept Anthropol, Atlanta, GA 30322 USA.}",{English},{Article},"{233 SPRING ST, NEW YORK, NY 10013 USA}",{DEC},{1931-7565},,,,,
{2015},{117},,{Willpower depletion and framing effects},{47-61},"{Willpower; Ego depletion; Framing; Willpower depletion; Experiment;
Behavioral economics}",{JOURNAL OF ECONOMIC BEHAVIOR \& ORGANIZATION},{0167-2681},"de Haan, Thomas and van Veldhuizen, Roe","{One of the hallmark findings from behavioral economics is that choices
are sensitive to the context they are presented in. However, the
strength of such `framing effects' varies between studies, and some
studies fail to find any effect at all. A long line of research has
argued that the presence and size of framing effects depend to a large
extent on whether people use higher or lower-level mental decision
making processes (or heuristics). A similarly important line of research
in social psychology and economics suggests that higher-level mental
processes such as self-control draw upon a limited pool of mental
resources that can be exhausted. This study links these two lines of
research and investigates whether depleting people's mental resources
(or `willpower') affects the degree to which they are susceptible to
framing effects. In three separate experiments we depleted participants'
willpower using the commonly used Stroop task method, and subsequently
made them take part in a series of tasks, including a framed prisoner's
dilemma, an attraction effect task and an anchoring effect task.
However, though we find strong evidence of a framing effect in all three
tasks, the strength of these effects is not affected by induced changes
in the level of willpower depletion. (C) 2015 Elsevier B.V. All rights
reserved.}",article,ISI:000361578700005,,,{ELSEVIER SCIENCE BV},,,{2020-11-04},,{ISI:000361578700005},{CR8CM},{J. Econ. Behav. Organ.},{29},{0},{13},{55},,,,,"{thomas.dehaan@nhh.no
roel.vanveldhuizen@wzb.eu}",{Economics},{Business \& Economics},"{SELF-CONTROL; EGO-DEPLETION; RESOURCE DEPLETION; LIMITED RESOURCES;
CHOICE; PREFERENCES; BEHAVIOR; ALTERNATIVES; UNCERTAINTY; PERFORMANCE}",,{10.1016/j.jebo.2015.06.002},"{de Haan, T (Corresponding Author), Norwegian Sch Econ, Helleveien 30, N-5045 Bergen, Norway.
de Haan, Thomas, Norwegian Sch Econ, N-5045 Bergen, Norway.
van Veldhuizen, Roe, WZB Berlin, D-10785 Berlin, Germany.}",{English},{Article},"{PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS}",{SEP},{1879-1751},,,,,
{2015},{160},,"{Eyes keep watch over you! Competition enhances joint attention in
females}",{170-177},"{Joint attention; Social interaction; Competition; Cooperation;
Prisoner's Dilemma}",{ACTA PSYCHOLOGICA},{0001-6918},"Ciardo, Francesca and Ricciardelli, Paola and Lugli, Luisa and Rubichi,
Sandro and Iani, Cristina","{The present study investigated if the gaze-cuing effect (i.e., the
tendency for observers to respond faster to targets in locations that
were cued by others' gaze direction than to not-cued targets) is
modulated by the-type of relationship (i.e., cooperative or competitive)
established during a previous interaction with a cuing face. In two
experiments, participants played a series of single-shot games of a
modified version of the two-choice Prisoner's Dilemma against eight
simulated contenders. They were shown a fictive feedback indicating if
the opponents chose to cooperate or compete with them. Opponents' faces
were then used as stimuli in a standard gaze-cuing task. In Experiment 1
females classified as average in competitiveness were tested, while in
Experiment 2 females classified as high and low in competitiveness were
tested. We found that only in females classified as low and average in
competitiveness the gaze-cuing effect for competitive contenders was
greater than for cooperative contenders. These findings suggest that
competitive opponents represent a relevant source of information within
the social environment and female observers with low and average levels
of competition cannot prevent from keeping their eyes over them. (C)
2015 Elsevier B.V. All rights reserved.}",article,ISI:000361260000018,,,{ELSEVIER},,,{2020-11-04},,{ISI:000361260000018},{CR3VA},{Acta Psychol.},{14},{3},{10},{50},"{PR was supported by a grant from Universita di Milano - Bicocca (Fondo
di Ateneo 2012).}",{Universita di Milano - Bicocca (Fondo di Ateneo)},"{Iani, Cristina/0000-0002-7220-6337
Ciardo, Francesca/0000-0002-2530-3089
Ricciardelli, Paola/0000-0002-1123-2099
RUBICHI, Sandro/0000-0002-0279-3353}","{Rubichi, Sandro/A-3265-2011
Iani, Cristina/D-1652-2009
Ciardo, Francesca/AAC-8805-2019
}","{francesca.ciardo@unimore.it
cristina.iani@unimore.it}","{Psychology, Experimental}",{Psychology},"{GATES SOCIAL ATTENTION; GAZE; CUES; PERCEPTION; DIRECTION; MEMORY;
GOALS; FACES; BIAS}",,{10.1016/j.actpsy.2015.07.013},"{Ciardo, F (Corresponding Author), Univ Modena \& Reggio Emilia, Dept Commun \& Econ, Viale Allegri 9, I-42121 Reggio Emilia, Italy.
Ciardo, Francesca; Rubichi, Sandro; Iani, Cristina, Univ Modena \& Reggio Emilia, Dept Commun \& Econ, I-42121 Reggio Emilia, Italy.
Ricciardelli, Paola, Univ Milano Bicocca, Dept Psychol, I-20126 Milan, Italy.
Ricciardelli, Paola, Milan Ctr Neurosci, I-20126 Milan, Italy.
Lugli, Luisa, Univ Bologna, Dept Philosophy \& Commun, I-40122 Bologna, Italy.}",{English},{Article},"{RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS}",{SEP},{1873-6297},,,,,
{2015},{14},,"{A common oxytocin receptor gene (OXTR) polymorphism modulates intranasal
oxytocin effects on the neural response to social cooperation in humans}",{516-525},"{Cooperation; fMRI; oxytocin; oxytocin receptor gene polymorphism;
rs53576}",{GENES BRAIN AND BEHAVIOR},{1601-1848},"Feng, C. and Lori, A. and Waldman, I. D. and Binder, E. B. and Haroon,
E. and Rilling, J. K.","{Intranasal oxytocin (OT) can modulate social-emotional functioning and
related brain activity in humans. Consequently, OT has been discussed as
a potential treatment for psychiatric disorders involving social
behavioral deficits. However, OT effects are often heterogeneous across
individuals. Here we explore individual differences in OT effects on the
neural response to social cooperation as a function of the rs53576
polymorphism of the oxytocin receptor gene (OXTR). Previously, we
conducted a double-blind, placebo-controlled study in which healthy men
and women were randomized to treatment with intranasal OT or placebo.
Afterwards, they were imaged with functional magnetic resonance imaging
while playing an iterated Prisoner's Dilemma Game with same-sex
partners. Within the left ventral caudate nucleus, intranasal OT
treatment increased activation to reciprocated cooperation in men, but
tended to decrease activation in women. Here, we show that these sex
differences in OT effects are specific to individuals with the rs53576
GG genotype, and are not found for other genotypes (rs53576 AA/AG).
Thus, OT may increase the reward or salience of positive social
interactions for male GG homozygotes, while decreasing those processes
for female GG homozygotes. These results suggest that rs53576 genotype
is an important variable to consider in future investigations of the
clinical efficacy of intranasal OT treatment.}",article,ISI:000360760700002,{7},,{WILEY},,,{2020-11-04},"{Green Accepted, Bronze}",{ISI:000360760700002},{CQ7CP},{Genes Brain Behav.},{43},{0},{48},{53},"{This study was supported by National Institute of Mental Health (grant
number R01 MH084068-01A1) and the National Center for Advancing
Translational Sciences of the National Institutes of Health under Award
Number UL1TR000454. The funding source had no role in study design; in
the collection, analysis and interpretation of data; in the writing of
the report; and in the decision to submit the paper for publication. We
thank Susan Rogers, Jianguo Xu and Larry Young for assistance with
various aspects of this study. We also thank Ashley DeMarco and Patrick
Hackett for assistant in data collection, and Xu Chen for assisting with
data analysis. The authors declare no competing financial interests.}","{National Institute of Mental HealthUnited States Department of Health \&
Human ServicesNational Institutes of Health (NIH) - USANIH National
Institute of Mental Health (NIMH) {[}R01 MH084068-01A1]; National Center
for Advancing Translational Sciences of the National Institutes of
HealthUnited States Department of Health \& Human ServicesNational
Institutes of Health (NIH) - USANIH National Center for Advancing
Translational Sciences (NCATS) {[}UL1TR000454]}","{Haroon, Ebrahim/0000-0002-8817-1116}","{Haroon, Ebrahim/A-7921-2012}",{jrillin@emory.edu},{Behavioral Sciences; Neurosciences},{Behavioral Sciences; Neurosciences \& Neurology},"{BRAIN ACTIVITY; PAIR BOND; STRESS; VASOPRESSIN; BEHAVIOR; EMPATHY; MEN;
ASSOCIATION; AFFILIATION; POPULATION}",,{10.1111/gbb.12234},"{Rilling, JK (Corresponding Author), Emory Univ, Dept Anthropol, Dept Psychiat \& Behav Sci, 1557 Dickey Dr, Atlanta, GA 30322 USA.
Feng, C.; Rilling, J. K., Emory Univ, Dept Anthropol, Atlanta, GA 30322 USA.
Feng, C., Beijing Normal Univ, State Key Lab Cognit Neurosci \& Learning, Beijing 100875, Peoples R China.
Lori, A., Emory Univ, Dept Human Genet, Atlanta, GA 30322 USA.
Waldman, I. D., Emory Univ, Dept Psychol, Atlanta, GA 30322 USA.
Binder, E. B., Max Planck Inst Psychiat, Dept Translat Res Psychiat \& Stress Related Disor, D-80804 Munich, Germany.
Binder, E. B.; Haroon, E.; Rilling, J. K., Emory Univ, Dept Psychiat \& Behav Sci, Atlanta, GA 30322 USA.
Rilling, J. K., Emory Univ, Ctr Behav Neurosci, Atlanta, GA 30322 USA.
Rilling, J. K., Emory Univ, Yerkes Natl Primate Res Ctr, Atlanta, GA 30322 USA.
Rilling, J. K., Emory Univ, Ctr Translat Social Neurosci, Atlanta, GA 30322 USA.}",{English},{Article},"{111 RIVER ST, HOBOKEN 07030-5774, NJ USA}",{SEP},{1601-183X},,,,,
{2015},{228},,"{Behavioral and emotional responses to interpersonal stress: A comparison
of adolescents engaged in non-suicidal self-injury to adolescent suicide
attempters}",{899-906},{Social stress; Self-injurious behavior; Interpersonal relations},{PSYCHIATRY RESEARCH},{0165-1781},"Kim, Kerri L. and Cushman, Grace K. and Weissman, Alexandra B. and
Puzia, Megan E. and Wegbreit, Ezra and Tone, Erin B. and Spirito,
Anthony and Dickstein, Daniel P.","{Prominent theoretical models and existing data implicate interpersonal
factors in the development and maintenance of suicidal behavior and
non-suicidal self-injury (NSSI). However, no known study has yet used
computerized behavioral tasks to objectively assess responses to
interpersonal conflict/collaboration among teens engaged in NSSI or
having made a suicide attempt. The current study, therefore, compared
interpersonal functioning indexed by the Prisoner's Dilemma (PD) task
among three mutually exclusive groups, adolescents (ages 13-17): engaged
in NSSI only without history of a suicide attempt (n=26); who made a
suicide attempt without history of NSSI (n=26); and typically developing
controls (n=26). Participants also completed the Interpersonal
Sensitivity Measure to assess their general sensitivity to/awareness of
others' behaviors and feelings. No significant between-group differences
were found in PD task performance; however, compared to typically
developing control participants and those who had made a suicide
attempt, the NSSI group reported significantly more stress during the
task. Additionally, NSSI participants rated themselves as more
interpersonally sensitive compared to both attempters and typically
developing controls. Given the lack of knowledge about whether these
groups either differentially activate the same circuitry during
stressful interpersonal interactions or instead rely on alternative,
compensatory circuits, future work using event-related functional
magnetic resonance imaging is warranted. (C) 2015 Elsevier Ireland Ltd.
All rights reserved.}",article,ISI:000360251400097,{3},,{ELSEVIER IRELAND LTD},,,{2020-11-04},,{ISI:000360251400097},{CP9YI},{Psychiatry Res.},{29},{0},{7},{49},"{The authors would like to acknowledge the adolescents and their families
who participated in this study. This study was funded by an American
Foundation for Suicide Prevention (Grant No. 0057-08) Young Investigator
Award to the senior author (DPD) and internal hospital funds. No authors
have biomedical financial interests or potential conflicts of interest.}",{American Foundation for Suicide Prevention {[}0057-08]},"{Wegbreit, Ezra/0000-0001-5887-1392
Dickstein, Daniel/0000-0003-1647-5329
Tone, Erin/0000-0003-4021-1673}","{Wegbreit, Ezra/X-5323-2019
Dickstein, Daniel/L-3210-2016
}",{Kerri\_Kim@brown.edu},{Psychiatry},{Psychiatry},"{LIFE EVENTS; COOPERATION; VALIDITY; ANXIETY; RELIABILITY; SENSITIVITY;
LONELINESS; CHILDREN; VERSION; SCALE}",,{10.1016/j.psychres.2015.05.001},"{Kim, KL (Corresponding Author), EP Bradley Hosp, PediMIND Program, 1011 Vet Mem Pkwy, East Providence, RI 02915 USA.
Kim, Kerri L.; Cushman, Grace K.; Weissman, Alexandra B.; Puzia, Megan E.; Wegbreit, Ezra; Dickstein, Daniel P., Brown Univ, ER Bradley Hosp, PediMIND Program, Providence, RI 02912 USA.
Kim, Kerri L.; Cushman, Grace K.; Weissman, Alexandra B.; Puzia, Megan E.; Wegbreit, Ezra; Dickstein, Daniel P., Brown Univ, Alpert Med Sch, Providence, RI 02912 USA.
Kim, Kerri L.; Cushman, Grace K.; Weissman, Alexandra B.; Puzia, Megan E.; Wegbreit, Ezra; Spirito, Anthony; Dickstein, Daniel P., Brown Univ, Dept Psychiat \& Human Behav, Alpert Med Sch, Providence, RI 02912 USA.
Tone, Erin B., Georgia State Univ, Dept Psychol, Atlanta, GA 30303 USA.}",{English},{Article},"{ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000,
IRELAND}",{AUG 30},,,,,,
{2015},{67},,"{Social preferences, positive expectations, and trust based cooperation}",{45-50},"{Trust; Cooperation; Social preferences; Beliefs; Prisoner's dilemma;
Index of cooperation; Rationalizability; SVO}",{JOURNAL OF MATHEMATICAL PSYCHOLOGY},{0022-2496},"Murphy, Ryan O. and Ackermann, Kurt A.","{Some accounts of cooperation in the Prisoner's Dilemma have focused on
developing simple indexes of a game's severity - i.e., the degree to
which a game promotes non-cooperative choices - which are derived wholly
from the game's payoff structure. However, the psychological mechanisms
of why a game's payoffs affect cooperation rates are not clearly
explicated with this approach. We show how simple models of decision
making can predict the emergence of trust based cooperation as the
expected utility maximizing strategy when individual social preferences
and positive expectations (beliefs) are simultaneously taken into
account. Moreover, we show how these predictions relate to a particular
game's index of cooperation. We then delineate under what conditions
trust based cooperation is rationalizable, and how the decision to trust
can be understood in terms of an interaction between payoffs,
preferences, and beliefs. (C) 2015 Elsevier Inc. All rights reserved.}",article,ISI:000358814000005,,,{ACADEMIC PRESS INC ELSEVIER SCIENCE},,,{2020-11-04},,{ISI:000358814000005},{CO0BB},{J. Math. Psychol.},{32},{0},{7},{16},"{This research has been supported in part by Swiss National Science
Foundation (SNF) grant 100014\_143199/1.}","{Swiss National Science Foundation (SNF)Swiss National Science Foundation
(SNSF) {[}100014\_143199/1]}","{Ackermann, Kurt Alexander/0000-0003-1156-3880}",,{rmurphy@ethz.ch},"{Mathematics, Interdisciplinary Applications; Social Sciences,
Mathematical Methods; Psychology, Mathematical}",{Mathematics; Mathematical Methods In Social Sciences; Psychology},,,{10.1016/j.jmp.2015.06.001},"{Murphy, RO (Corresponding Author), ETH, Chair Decis Theory \& Behav Game Theory, Clausiusstr 50, CH-8092 Zurich, Switzerland.
Murphy, Ryan O.; Ackermann, Kurt A., ETH, Chair Decis Theory \& Behav Game Theory, CH-8092 Zurich, Switzerland.}",{English},{Article},"{525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA}",{AUG},{1096-0880},,,,,
{2015},{25},,"{Individuals in the criminal justice system show differences in
cooperative behaviour: Implications from cooperative games}",{169-180},,{CRIMINAL BEHAVIOUR AND MENTAL HEALTH},{0957-9664},"Clark, Brendan C. and Thorne, Christopher B. and Hendricks, Peter S. and
Sharp, Carla and Clark, Shane K. and Cropsey, Karen L.","{BackgroundThe high rate of incarceration in the USA warrants continued
exploration into understanding and ameliorating criminal behaviour. The
growing use of cooperative games to measure developing prosocial
behaviours has never been explored in a US criminal justice population.
AimsThe aim of this study is to examine cooperative game play among
offenders under supervision in the community. We hypothesised that the
offenders would use more guarded and self-preserving strategies and be
more likely to excel in short-lived interactions than law-abiding
community citizens.
MethodsCommunity supervised offenders (83) and general population
comparison participants (41) were recruited by town centre adverts
placed in popular shops. Using the supervision centres as venues, all
participants were asked to complete four cooperative games (prisoner's
dilemma, public goods game, ultimatum game and trust game), not knowing
the identity of the other player who was always, in fact, the
experimenter.
ResultsThe offender and general population groups were similar in age
(early 30s), sex (2/3 men), race (45\% white) and IQ distribution (low
average range). Offenders made lower offers in the ultimatum game, had
lower scores in the prisoner's dilemma, made lower investments and
offered lower returns in the trust game and contributed less in the
public goods game.
ConclusionsEven community-based offenders thus seem to have deficits in
the kinds of gameplay, which are informed by theories of social
cooperation, but the direction of relationship with offending remains
unclear. The apparent deficits may reflect adaptation to a hostile
environment where trust and reciprocity are not rewarded. It is also
important to recognise that these community-based offenders did develop
play indicative of trust and reciprocity, they just did so more slowly
than the comparison group. This may have implications for allowing time
for rapport to develop in supervisory relationships. Finally, offenders
may benefit from learning that although more guarded behaviours may be
adaptive in a rough neighbourhood or in jail, they may be maladaptive
and limit their success in other settings such as the work place.
Copyright (c) 2014 John Wiley \& Sons, Ltd.}",article,ISI:000357684500002,{3},,{WILEY-BLACKWELL},,,{2020-11-04},,{ISI:000357684500002},{CM4VY},{Crim. Behav. Ment. Health},{18},{1},{4},{33},,,"{Sharp, Carla/0000-0001-8349-4701}",,{w555621@uab.edu},{Criminology \& Penology; Psychiatry},{Criminology \& Penology; Psychiatry},"{PERSONALITY-DISORDER; PRISONERS; DILEMMA; RECIPROCITY; MORALITY; SAMPLE;
TRUST}",,{10.1002/cbm.1920},"{Clark, BC (Corresponding Author), Univ Alabama Birmingham, Psychiat, 1720 2nd Ave S Sparks Ctr 1016, Birmingham, AL 35294 USA.
Clark, Brendan C.; Cropsey, Karen L., Univ Alabama Birmingham, Dept Psychiat, Birmingham, AL 35294 USA.
Thorne, Christopher B.; Hendricks, Peter S., Univ Alabama Birmingham, Dept Hlth Behav, Birmingham, AL 35294 USA.
Sharp, Carla, Univ Houston, Dept Psychol, Houston, TX USA.
Clark, Shane K., Univ Strathclyde, Sch Econ, Glasgow, Lanark, Scotland.}",{English},{Article},"{111 RIVER ST, HOBOKEN 07030-5774, NJ USA}",{JUL},{1471-2857},,,,,
{2015},{73},,"{Neuroticism modulates the effects of intranasal vasopressin treatment on
the neural response to positive and negative social interactions}",{108-115},{Neuroticism; Oxytocin; Vasopressin; fMRI; Cooperation},{NEUROPSYCHOLOGIA},{0028-3932},"Feng, Chunliang and DeMarco, Ashley C. and Haroon, Ebrahim and Rilling,
James K.","{Neuroticism is a fundamental personality trait associated with proneness
to feel negative affect. Here we ask how Neuroticism influences the
neural response to positive and negative social interactions and how
Neuroticism modulates the effect of intranasal oxytocin (OT) and
vasopressin (AVP) on the neural response to social interactions. In a
double-blind, placebo-controlled study, 153 male participants were
randomized to receive 24 IU intranasal OT, 20 IU AVP or placebo.
Afterwards, they were imaged with fMRI while playing an iterated
Prisoner's Dilemma Game. On a different day, subjects completed the NEO
personality inventory to measure Neuroticism. Neuroticism was positively
correlated with the neural response to negative social interactions in
the anterior cingulate cortex/medial prefrontal cortex and with the
neural response to positive social interactions in the insula,
indicating that Neuroticism modulates neuropsychological processing of
both negative and positive social interactions. Neuroticism did not
modulate the effect of intranasal OT treatment on the neural response to
either positive or negative social interactions. On the other hand, AVP
treatment significantly interacted with Neuroticism to modulate the BOLD
response to both positive and negative social interactions.
Specifically, AVP increased anterior cingulate cortex/medial prefrontal
cortex and lateral temporal lobe responses to negative social
interactions to a greater extent in participants scoring high rather
than low on Neuroticism. AVP also increased the insula response to
positive social interactions to a greater extent in participants scoring
high rather than low on Neuroticism. These results imply that AVP may
increase emotion regulation in response to negative social interactions
and the salience of positive social interactions to a greater extent in
individuals high compared to low in Neuroticism. The current findings
urge caution against uniform clinical application of nonapeptides and
suggest that their efficacy may vary as a function of personality. (C)
2015 Elsevier Ltd. All rights reserved.}",article,ISI:000357440200010,,,{PERGAMON-ELSEVIER SCIENCE LTD},,,{2020-11-04},{Green Accepted},{ISI:000357440200010},{CM1KQ},{Neuropsychologia},{23},{1},{7},{61},"{This study was supported by National Institute of Mental Health {[}Grant
number R01 MH084068-01A1] and the National Center for Advancing
Translational Sciences of the National Institutes of Health under Award
number UL1TR000454. We thank Susan Rogers, Jianguo Xu and Larry Young
for assistance with various aspects of this study.}","{National Institute of Mental HealthUnited States Department of Health \&
Human ServicesNational Institutes of Health (NIH) - USANIH National
Institute of Mental Health (NIMH) {[}R01 MH084068-01A1]; National Center
for Advancing Translational Sciences of the National Institutes of
HealthUnited States Department of Health \& Human ServicesNational
Institutes of Health (NIH) - USANIH National Center for Advancing
Translational Sciences (NCATS) {[}UL1TR000454]}","{Haroon, Ebrahim/0000-0002-8817-1116}","{Haroon, Ebrahim/A-7921-2012}",{jrillin@emory.edu},"{Behavioral Sciences; Neurosciences; Psychology, Experimental}",{Behavioral Sciences; Neurosciences \& Neurology; Psychology},"{PREFRONTAL CORTEX; SAD FACES; OXYTOCIN; BRAIN; AMYGDALA; EMOTION;
REACTIVITY; ROBUST; FMRI; SENSITIVITY}",,{10.1016/j.neuropsychologia.2015.05.004},"{Rilling, JK (Corresponding Author), Emory Univ, Dept Anthropol, 1557 Dickey Dr, Atlanta, GA 30322 USA.
Feng, Chunliang; Rilling, James K., Emory Univ, Dept Anthropol, Atlanta, GA 30322 USA.
Haroon, Ebrahim; Rilling, James K., Emory Univ, Dept Psychiat \& Behav Sci, Atlanta, GA 30322 USA.
Rilling, James K., Emory Univ, Ctr Behav Neurosci, Atlanta, GA 30322 USA.
Rilling, James K., Emory Univ, Yerkes Natl Primate Res Ctr, Atlanta, GA 30322 USA.
Rilling, James K., Emory Univ, Ctr Translat Social Neurosci, Atlanta, GA 30322 USA.
Feng, Chunliang, Beijing Normal Univ, State Key Lab Cognit Neurosci \& Learning, Beijing 100875, Peoples R China.
DeMarco, Ashley C., Univ Kansas, Dept Psychol, Lawrence, KS 66045 USA.}",{English},{Article},"{THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND}",{JUL},{1873-3514},,,,,
